id,text,label
keyholder_how_decrypt.html_train0,"KEYHolder What happened to your files ? All of your files were protected by a strong encryption with RSA2048 using
KEYHolder. More information about the encryption keys using RSA2048 can be found here: REPLACEDLINK What does this mean ? This means that the structure and data within your files have been irrevocably
changed, you will not be able to work with them, read them or see them, it is the same thing as losing them forever,
but with our help, you can restore them. How did this happen ? Especially for you, on our server was generated the secret key pair RSA2048 public and private. All your files were encrypted with the public key, which has been transferred
to your computer via the Internet. Decrypting of your files is only possible with",1
keyholder_how_decrypt.html_train1,"the help of the private key and
decrypt program, which is on our secret server. What do I do ? Alas, if you do not take the necessary measures for the specified time then
the conditions for obtaining the private key will be changed. If you really value your data, then we suggest you do not waste valuable time
searching for other solutions because they do not exist. For more specific instructions, please visit your personal home page,
there are a few different addresses pointing to your page below: REPLACEDLINK DF7462D1 REPLACEDLINK DF7462D1 REPLACEDLINK DF7462D1 If for some reasons the addresses are not available, follow these steps: REPLACEDLINK and install torbrowser: REPLACEDLINK REPLACEDLINK a successful installation, run the browser and wait for
initialization. REPLACEDLINK in the address bar: REPLACEDLINK DF7462D1 REPLACEDLINK the instructions",1
keyholder_how_decrypt.html_train2,"on the site. IMPORTANT INFORMATION: Your personal page: REPLACEDLINK DF7462D1 Your personal identification number if you open the site or TOR 's
directly: 00000003DF7462D1",1
diy_How to Create a Robotic Dog With 9G Servos_train3,"Introduction: How to Create a Robotic Dog With 9G Servos
This is a Robotic Dog inspired by Boston Dynamic's Spotmini, but this time on a much smaller scale. This version of the robotic dog is created with a dozen Servos and some other components such as an Ardurino Nano.
You can find a great instructable covering how to create your own Servo Tester here: REPLACEDLINK Tester2 Step 1: Arrangement of Servos Kinematics
It is best if the Servos are arranged at 90 and then mounted on the legs.
For kinematics:
All Legs 48mm
Shoulder to Shoulder Pivot 40mm Left to Right
Shoulder to Shoulder Pivot 80mm Front to Back
With 90 being centered and perpendicular when assembled:
Shoulder Pivot REPLACEDLINK Left Right
Shoulder Pivot REPLACEDLINK REPLACEDLINK Front Back
Knee Pivot: 70 73 Front Back
Step 2: BOM STL Files
Bom:
1 Arduino",0
diy_How to Create a Robotic Dog With 9G Servos_train4,"Nano Headless
1 16ch PWM driver
12 Tower Hobby 9g servo
2 FrameVertical Pivot
2 FrameVertical
6 FrameStiffener Vertical
6 FrameStiffener Horizontal
4 Shoulder Pivot
4 LegUpper
2 LegUpper LH
2 LegUpper RH
4 LegLower
2 Driver Support
1 Nano Support
The Stls can be found here: REPLACEDLINK Full Credits to Design Cells for releasing the Stl files on Thingiverse; I didn't Design this myself.
Step 3: Done!!!
The code has yet to be released yet, but I'm sure that it'll be released soon. If anybody knows how to code, please relate to the original author.
Have Fun!!!
Participated in the
Robotics Contest
4 Comments
8 months ago
This is so weird to find; why create an insturctables from my incomplete project 2 years after I posted it?
8 months ago
You do not need the 16ch servo shield the Arduino NANO is totally capable of driving 20 servos all by itself.",0
diy_How to Create a Robotic Dog With 9G Servos_train5,"Code is here: REPLACEDLINK You can power the servos directly from 6v or REPLACEDLINK or more on their power line, with their data line and GND connected to the Arduino and it drives them fine as well.
They literally just plug in along the sides of the NANO too! see pic
NOTE! I do NOT recommend trying to build this with 9g servos they are too weak they only just barely can carry their own weight if you add a battery or anything else, your dog will sit spreadeagled and go nowhere. Use metalgear hightorque MG995 or MG996 servos instead.
Here's mine: REPLACEDLINK 3 years ago
I could help u with the code
Reply 2 years ago
Sure, can you put it here?",0
GandCrab_GandCrabV5_5.0.1_[]-DECRYPT.txt_train6,"GANDCRAB V5.0.1 Attention! All your files, documents, photos, databases and other important files are encrypted and have the extension: .GACMW The only method of recovering files is to purchase an unique private key. Only we can give you this key and only we can recover your files. The server with your key is in a closed network TOR. You can get there by the following ways: 0. Download Tor browser https: www.torproject.org 1. Install Tor browser 2. Open Tor Browser 3. Open link in TOR browser: http: gandcrabmfe6mnef.onion fe1bfd4c60d8c0e3 4. Follow the instructions on this page On our page you will see instructions on payment and get the opportunity to decrypt 1 file for free. ATTENTION! IN ORDER TO PREVENT DATA DAMAGE: DO NOT MODIFY ENCRYPTED FILES DO",1
GandCrab_GandCrabV5_5.0.1_[]-DECRYPT.txt_train7,NOT CHANGE DATA BELOW BEGIN GANDCRAB KEY lAQAAG4VotS0ouOmtS61tI8OYKGqlpisZWIj3qkn6mz 1FNE0MSzDc1zsB7GLEnk0crDy84DnW7zqGIUI7KR5Em6J8KKfNpJRRmzNm3cwq2ZesmG3gkdAID3MCclGTpeBuMi66L5E4IgbTyAiIKVbr3zpSgtPIBAXTlOIS9M2lKAqgyoBTRla aV9iknQbQEylZrk200mhs3iWGcS8Yz1GdC2WW0tuF2h82N0hfBWgmRtYcxfAyqOw8kJ1WaG3 pryx7u07JfUDpyEj0cBypaYlnk1T8lB6yx2F3lrjJJ01qZRu93PtWOqZZ7YR0K0r1iixvjDpVtgv974VcKLuz UMKNLwUm45Z6zZuLOAEc4YHsvFGc oQxLZYlBPXrg0N9O4Z JVPEjovQCYhB10runryQm6u8HpBxuqu5obUc1W5AkL8d9VnEyER6jp1d 7PrJ6TkuHhboXpYGDJcRqfvDvzOeYioy6VaP1ZzF q59ex6COu0YcgIHH220GnNsvDOeYomUAEbnhy8yblzCWUOJzlS80AVnTsUx9EGICm672JyBUULPFGpYQ03pUEJhQkILMCSIMuzPYJKOCI4JApF 88eHgU48jVt6EkcJPz5hlvNUcpGiYSep43ZOM1PdUqvanzkR68IGaAxlJ7yKjCPVrO0jJhKQYUVkvN53Nbi8LgKM2Bf5LlNJMq0ykkcp MMvl6n4MEYSl1W1T5KzKPalZf9uGVM6aifyWCUvxhns1mRdcARMaoUSPTWkp5eb0W0CrNCBvF89nMBoEU8T0fNe2HqxIAPMxclNM8ZDCjj863NBaBrSSdzmRGsol0TElIJ1EVYg81kqBSzUIFWESa6S6W84XERm23kiaQquV7m8mP3xxK7knhXkL6 yeKM y9FNfYgAZFEV5CEiAwK f7VAgfQqoSLRaVZLPa6X4Czd3LpUlp Nv lY0 uvk7DdpaZKRy8J6XdcnmnkdC1ccVSxnVMn7ReOt7vPsSu00FZJFkTeJayRAXPSPdhEJcsmCf3byYC01cNlhj8Oeqtvp7q9VS0pnRIsRY4Mz1CBFsRzZ8pFgzwaSogsl7FW537nji9Y7ZvWN0MU5mXD4pPPjzxE5JthAb3NRUpzPykKOs3tSRKylmw2q5PMfLTrNiDaNHD8P0C3dQkVIiGB3jH2Fzr2Jsq7nHRaBZ2IebBwfeRcuoyvZp6f0 vusUcsHyarHtxLvCSckjr4pQWccoBKBOKnzlbNULzS7ObIOc7mgazEpc7vTOQfmdh48vdzLKkcyGPLGS20ill4IZXhCCqP1xRX8h5QcjGnnFKYz0ptZpNIwlle7t14l 42fqztLCBC2gYVy8MRVnAqVSReTNBzvPKO8lFHeI079fysGIPS4nUfjysK9afwviezVVB16goJfDsC7acgTSoaiJ0AIcyZCi SaxSSjTmkg5yy1kMAzoWjp0ScMG4ugcmk CsTC6BOFw94F2ONxTJ72W4aKxxiSigFpn vw2tXgsDRRY U0VuT8d WNgg8HCzBvL4ljaWSFLzce2J7fqjmWbOWKWQYtH1zZulf6 dFXsZ6g1O3ZeZAdVTsNr4pcatp7begjhAzLEa1 5owIpMM1dHS FfSgWwuqGr2BzaFzJZ3gYhLgwyUUSROxNqBOm519upKB5Ap1C6a86Wrn9as89jfZL57L3CsIKTSQLkV2NI4E82E9NuXotYAJZpJS1LsBRFL9SSTnWm5MbhkZJVIsaI020waSW3WIIDKU9L4a zFsO21zpmYvwvB51 1Y42BTD3pkyot3qcqlSc0MYoGU1brhElrhdQqYVy9uKLAdWJKX8bdv1hFonoX27TpqPGrkK2kobnPi198aKazzsiIOBOKAsO7 6KggL0mL3dEBxMz5LC1CRY8KMIMiljnGu3G09RyjjLCm8nT2 mCpsdix47aJVr5G qF2cxQ6EvsvnaQJlBaPunDQXyCNjKIagZZkpiUJrAbgovGcSwgOloC02tTDf1BAXqMVpvy3Eh JKfXIUZUvtQ9pApKMzxLCteHYvMss1 2yuQ83KhrirC8e8r8 ErTUf2Ub2CnnqvoPwCzPMX6sVjtvr3mRBtNeiy3FEII8WxIO2ucnWSyq7ENR57DX0IB8Nx9lH9I7Pxqa9UtHACyCW8p qLRDOK8eWmzvT7Pps97 uhQK7P5ElDYjP9xb6WY2A3n9wHgIuHcRZbGmkJ1hU1S4 END GANDCRAB KEY BEGIN PC DATA wfKD6iudumBkmpL8IRr4U4uxDFaVOXjtiDxwOqf191YnvOeWPx5OYfxdzZZOTodRvXZy7mhWprezTFGHwx5FBJjzntMK77r6TUHaDB7iIpJD8 bFAv 9mGGoBpAZLv6jx xY2WXxP5KAiqChSETkArkAibYGOMCX0rmSbUAkaXQIbYOWrsC3YZtYF6TRxoEpGY422ASVK2ZBFV7gPZuRPcDCJ 2PyMLkO0MLEPxIodLAmTS5x0mtsoTXZoP c e rC1tRzjTbmjYlAG3g8l65nVd0 CBUxKQ7KDJYrtX0vSmnFXg ykfgtJNiwqfCnqbr85BitbEnkUnBsuLy zI2Fet1Gt1YbFrXBi t hHWEYwboicE4oG4b6a1Y8ZyGoyp2Q2iuJRzTRoqGlPQJIAJpZFvwNEoAhPNnKcDO5YALqfj2Epg61rKQ3rxAZKxA7 ZibpDhFK3vzLMa113MZO3R0RiCKATmu1jXgAX9imUjfjiyrQR1nkLInlsaw XJNVcvpLjebfE0cKMBuP3BNgX9SQ2fCnaYXEqHtb0jxBdZMM5H4Hp8OYr ORccPpYloV LutbOMzJ 9Z3Zbh8MzuOwZRaFtAv8 END PC DATA,1
JAFF_2017-05-23_ReadMe.txt_train8,"jaff decryptor system Files are encrypted!
To decrypt flies you need to obtain the private key.
The only copy of the private key, which will allow you to decrypt your files, is located on a secret server
in the Internet You must install Tor Browser: REPLACEDLINK REPLACEDLINK After instalation,run the Tor Browser and enter address: REPLACEDLINK Follow the instruction on the website. Your decrypt ID: xxxxxxxxxx",1
TeslaCrypt_Unknown_Unkn1_[].htm_train9,"NOT YOUR LANGUAGE? USEGoogle Translate What happened to your files? All of your files were protected by a strong encryption with RSA More information about the encryption RSA can be found here: REPLACEDLINK Wh at does this mean? This means that the structure and data within your files have been
irrevocably changed, you will not be able to work with them, read them or see
them, it is the same thing as losing them forever, but with our help, you can
restore them. Ho w did this happen? Especially for you, on our SERVER was generated the secret keypair RSA public and private. All your files were encrypted with the public key, which has been
transferred to your computer via the Internet. Decrypting of YOUR FILES is only possible with the help",1
