id,text,label
Alpha Crypt_2015-05-06_HELP_TO_SAVE_FILES.txt_test0,"All your documents, photos, databases and other important files have been encrypted
with strongest encryption RSA2048 key, generated for this computer. Private decryption key is stored on a secret Internet server and nobody can
decrypt your files until you pay and obtain the private key. If you see the main encryptor red window, examine it and follow the instructions.
Otherwise, it seems that you or your antivirus deleted the encryptor program.
Now you have the last chance to decrypt your files.
Open in your browser one of the links: REPLACEDLINK REPLACEDLINK REPLACEDLINK They are public gates to the secret server.
Copy and paste the following Bitcoin address in the input form on server. Avoid missprints.

Follow the instructions on the server. If you have problems with gates, use direct connection:
1. Download Tor Browser from REPLACEDLINK",1
Alpha Crypt_2015-05-06_HELP_TO_SAVE_FILES.txt_test1,"2. In the Tor Browser open the REPLACEDLINK Note that this server is available via Tor Browser only. Retry in 1 hour if site is not reachable.
Copy and paste the following Bitcoin address in the input form on server. Avoid missprints.

Follow the instructions on the server.",1
Dharma_cmb_Info.hta_test2,"All your files have been encrypted! All your files have been encrypted due to a security problem with your PC. If
you want to restore them, write us to the email REPLACEDLINK Write this ID in the title of your message 3AF0FA8F In case of no answer in 24 hours write us to theese
e REPLACEDLINK You have to pay for decryption in Bitcoins. The price depends on how fast you
write to us. After payment we will send you the decryption tool that will
decrypt all your files. Free decryption as guarantee Before paying you can send us up to 1 file for free decryption. The total size
of files must be less than 1Mb non archived, and files should not contain
valuable information. databases,backups, large excel sheets, REPLACEDLINK How to obtain Bitcoins",1
Dharma_cmb_Info.hta_test3,"The easiest way to buy bitcoins is LocalBitcoins site. You have to register,
click 'Buy bitcoins', and select the seller by payment method and price. REPLACEDLINK Also you can find other places to buy Bitcoins and beginners guide here: REPLACEDLINK canibuybitcoins Attention! Do not rename encrypted files. Do not try to decrypt your data using third party software, it may cause permanent data loss. Decryption of your files with the help of third parties may cause increased price they add their fee to our or you can become a victim of a scam.",1
Evil locker_!_HOW_RECOVERY_FILES_!.txt_test4,"EVIL LOCKER HELLO, DEAR FRIEND! 1. ALL YOUR FILES HAVE BEEN ENCRYPTED! Your files are NOT damaged! Your files are modified only. This modification is reversible. The only 1 way to decrypt your files is to receive the decryption program. 2. HOW TO RECOVERY FILES? To receive the decryption program write on our email: REPLACEDLINK or REPLACEDLINK And in subject write your ID: IDredacted 6 hex char We send you full instruction how to decrypt all your files. 3. FREE DECRYPTION! Free decryption as guarantee. We guarantee the receipt of the decryption program after payment. To believe, you can give us up to 3 files that we decrypt for free. Files should not be important to you! databases, backups, large excel sheets, REPLACEDLINK EVIL LOCKER",1
Cerber_2017-03-15__READ_THIS_FILE_[]_.txt_test5,"CERBER RANSOMWARE YOUR DOCUMENTS, PHOTOS, DATABASES AND OTHER IMPORTANT FILES HAVE BEEN ENCRYPTED! The only way to decrypt your files is to receive the private key and decryption program. To receive the private key and decryption program go to any decrypted folder, inside there is the special file READTHISFILE with complete instructions how to decrypt your files. If you cannot find any READTHISFILE file at your PC, follow the instructions below: 1. Download Tor Browser from REPLACEDLINK and install it. 2. In the Tor Browser open your personal page here: REPLACEDLINK 456789ABCDEF0123 Note! This page is available via Tor Browser only. Also you can use temporary addresses on your personal page without using Tor Browser. 1. REPLACEDLINK 456789ABCDEF0123 2. REPLACEDLINK 456789ABCDEF0123 3. REPLACEDLINK 456789ABCDEF0123 4. REPLACEDLINK 456789ABCDEF0123 5.",1
Cerber_2017-03-15__READ_THIS_FILE_[]_.txt_test6,REPLACEDLINK 456789ABCDEF0123 Note! These are temporary addresses! They will be available for a limited amount of time!,1
Cerber_2016-08-10_# DECRYPT MY FILES #.txt_test7,"C E R B E R R A N S O M W A R 3 Cannot you find the files you need? Is the content of the files that you looked for not readable? It is normal because the files' names, as well as the data in your files have been encrypted. Great! You have turned to be a part of a big community C3rber Ransomware. !!! If you are reading this message it means the software Cerber has !!! been removed from your computer. !!! HTML instruction DECRYPT MY FILES REPLACEDLINK always contains a !!! working domain of your personal page! What is encryption? Encryption is a reversible modification of information for security reasons but providing full access to it for authorized users. To become an",1
Cerber_2016-08-10_# DECRYPT MY FILES #.txt_test8,"authorized user and keep the modification absolutely reversible in other words to have a possibility to decrypt your files you should have an individual private key. But not only it. It is required also to have the special decryption software in your case Cerber Decryptor software for safe and complete decryption of all your files and data. Everything is clear for me but what should I do? The first step is reading these instructions to the end. Your files have been encrypted with the Cerber Ransomware software; the instructions DECRYPT MY FILES REPLACEDLINK and DECRYPT MY FILES REPLACEDLINK in the folders with your encrypted files are not viruses, they will help you. After reading this text the most part of people start searching in the Internet the words",1
Cerber_2016-08-10_# DECRYPT MY FILES #.txt_test9,"the Cerber Ransomware where they find a lot of ideas, recommendations and instructions. It is necessary to realize that we are the ones who closed the lock on your files and we are the only ones who have this secret key to open them. !!! Any attempts to return your files with the thirdparty tools can !!! be fatal for your encrypted files. The most part of the thirdparty software change data within the encrypted file to restore it but this causes damage to the files. Finally it will be impossible to decrypt your files. When you make a puzzle, but some items are lost, broken or not put in its place the puzzle items will never match, the same way the thirdparty software will ruin your files",1
Cerber_2016-08-10_# DECRYPT MY FILES #.txt_test10,"completely and irreversibly. You should realize that any intervention of the thirdparty software to restore files encrypted with the Cerber Ransomware software may be fatal for your files. !!! There are several plain steps to restore your files but if you do !!! not follow them we will not be able to help you, and we will not try !!! since you have read this warning already. For your information the software to decrypt your files as well as the private key provided together are paid products. After purchase of the software package you will be able to: 1. decrypt all your files; 2. work with your documents; 3. view your photos and other media; 4. continue your usual and comfortable work at the computer. If you understand",1
Cerber_2016-08-10_# DECRYPT MY FILES #.txt_test11,all importance of the situation then we propose to you to go directly to your personal page where you will receive the complete instructions and guarantees to restore your files. There is a list of temporary addresses to go on your personal page below: 1. REPLACEDLINK 456789ABCDEF0123 2. REPLACEDLINK 456789ABCDEF0123 3. REPLACEDLINK 456789ABCDEF0123 4. REPLACEDLINK 456789ABCDEF0123 5. REPLACEDLINK 456789ABCDEF0123 What should you do with these addresses? If you read the instructions in TXT format if you have instruction in HTML the file with an icon of your Internet browser then the easiest way is to run it: 1. take a look at the first address in this case it is REPLACEDLINK 456789ABCDEF0123; 2. select it with the mouse cursor holding the left mouse button and moving the cursor,1
Cerber_2016-08-10_# DECRYPT MY FILES #.txt_test12,to the right; 3. release the left mouse button and press the right one; 4. select Copy in the appeared menu; 5. run your Internet browser if you do not know what it is run the Internet Explorer; 6. move the mouse cursor to the address bar of the browser this is the place where the site address is written; 7. click the right mouse button in the field where the site address is written; 8. select the button Insert in the appeared menu; 9. then you will see the address REPLACEDLINK 456789ABCDEF0123 appeared there; 10. press ENTER; 11. the site should be loaded; if it is not loaded repeat the same instructions with the second address and continue until the last address if falling. If for some,1
Cerber_2016-08-10_# DECRYPT MY FILES #.txt_test13,reason the site cannot be opened check the connection to the Internet; if the site still cannot be opened take a look at the instructions on omitting the point about working with the addresses in the HTML instructions. If you browse the instructions in HTML format: 1. click the left mouse button on the first address in this case it is REPLACEDLINK 456789ABCDEF0123; 2. in a new tab or window of your web browser the site should be loaded; if it is not loaded repeat the same instructions with the second address and continue until the last address. If for some reason the site cannot be opened check the connection to the Internet. Unfortunately these sites are shortterm since the antivirus companies are interested in you do not,1
Cerber_2016-08-10_# DECRYPT MY FILES #.txt_test14,"have a chance to restore your files but continue to buy their products. Unlike them we are ready to help you always. If you need our help but the temporary sites are not available: 1. run your Internet browser if you do not know what it is run the Internet Explorer; 2. enter or copy the address REPLACEDLINK REPLACEDLINK into the address bar of your browser and press ENTER; 3. wait for the site loading; 4. on the site you will be offered to download Tor Browser; download and run it, follow the installation instructions, wait until the installation is completed; 5. run Tor Browser; 6. connect with the button Connect if you use the English version; 7. a normal Internet browser window will be opened after the",1
Cerber_2016-08-10_# DECRYPT MY FILES #.txt_test15,"initialization; 8. type or copy the address REPLACEDLINK 456789ABCDEF0123 in this browser address bar; 9. press ENTER; 10. the site should be loaded; if for some reason the site is not loading wait for a moment and try again. If you have any problems during installation or operation of Tor Browser, please, visit REPLACEDLINK and type request in the search bar install tor browser windows and you will find a lot of training videos about Tor Browser installation and operation. If TOR address is not available for a long period 23 days it means you are late; usually you have about 23 weeks after reading the instructions to restore your files. Additional information: You will find the instructions for restoring your files in those folders where you have",1
Cerber_2016-08-10_# DECRYPT MY FILES #.txt_test16,"your encrypted files only. The instructions are made in two file formats HTML and TXT for your convenience. Unfortunately antivirus companies cannot protect or restore your files but they can make the situation worse removing the instructions how to restore your encrypted files. The instructions are not viruses; they have informative nature only, so any claims on the absence of any instruction files you can send to your antivirus company. Cerber Ransomware Project is not malicious and is not intended to harm a person and his her information data. The project is created for the sole purpose of instruction regarding information security, as well as certification of antivirus software for their suitability for data protection. Together we make the Internet a better and safer place. If you look",1
Cerber_2016-08-10_# DECRYPT MY FILES #.txt_test17,"through this text in the Internet and realize that something is wrong with your files but you do not have any instructions to restore your files, please, contact your antivirus support. Remember that the worst situation already happened and now it depends on your determination and speed of your actions the further life of your files.",1
Cerber_2017-08-02__R_E_A_D___T_H_I_S___[]_.hta_test18,"Can't you find the necessary files? Is the content of your files not readable? It is normal because the files' names and the data in your files have been
encrypted by CRBR Encryptor. It means your files are NOT damaged! Your files are modified only. This
modification is reversible. From now it is not possible to use your files until they will be decrypted. The only way to decrypt your files safely is to buy the special decryption
software CRBR Decryptor. Any attempts to restore your files with the thirdparty software will be fatal
for your files! You can proceed with purchasing of the decryption software at your personal
page: Please REPLACEDLINK 456789ABCDEF0123 REPLACEDLINK 456789ABCDEF0123 REPLACEDLINK 456789ABCDEF0123 REPLACEDLINK 456789ABCDEF0123 REPLACEDLINK 456789ABCDEF0123 If this page cannot be opened click here to get a new",1
Cerber_2017-08-02__R_E_A_D___T_H_I_S___[]_.hta_test19,"address of your
personal page. If the address of your personal page is the same as before after you tried to
get a new one, you can try to get a new address in one hour. At this page you will receive the complete instructions how to buy the
decryption software for restoring all your files. Also at this page you will be able to restore any one file for free to be sure
CRBR Decryptor will help you. If your personal page is not available for a long period there is another way
to open your personal page installation and use of Tor Browser: 1. run your Internet browser if you do not know what it is run the Internet Explorer; 2. enter or copy the address REPLACEDLINK REPLACEDLINK into the address",1
Cerber_2017-08-02__R_E_A_D___T_H_I_S___[]_.hta_test20,"bar of your browser and press ENTER; 3. wait for the site loading; 4. on the site you will be offered to download Tor Browser; download and run it, follow the installation instructions, wait until the installation is completed; 5. run Tor Browser; 6. connect with the button Connect if you use the English version; 7. a normal Internet browser window will be opened after the initialization; 8. type or copy the address REPLACEDLINK 456789ABCDEF0123 in this browser address bar; 9. press ENTER; 10. the site should be loaded; if for some reason the site is not loading wait for a moment and try again. If you have any problems during installation or use of Tor Browser, please,
visit REPLACEDLINK and type request in the search bar Install Tor
Browser",1
Cerber_2017-08-02__R_E_A_D___T_H_I_S___[]_.hta_test21,"Windows and you will find a lot of training videos about Tor Browser
installation and use. Additional information: You will find the instructions REPLACEDLINK for restoring
your files in any folder with your encrypted files. The instructions REPLACEDLINK in the folders with your
encrypted files are not viruses! The instructions REPLACEDLINK will help you to decrypt your files. Remember! The worst situation already happened and now the future of your
files depends on your determination and speed of your actions.",1
GlobeImposter_Unknown_How to restore your files.hta_test22,Your files are encrypted! Your personal ID: AB BE BD 7F A7 71 DC D7 09 A5 3F 76 6B 2D B6 91 34 D1 04 63 43 20 22 D8 BE D2 7F 61 D7 0E 73 70 05 9B 1A D4 2F D6 55 32 7D 91 A0 5E AF DB EA 24 69 4F 44 56 6C 23 14 8D 2B 3C 3C 4E 4F 6A 01 48 EC 25 F6 92 6D 1E 8F FB AA E6 10 69 C9 FE EF 1D 3C 1E 31 03 D6 F7 18 66 09 29 03 80 B0 DF A6 05 DA DA EC 96 6A 1F D9 46 AD E1 BF 6A ED 44 5F 6D 7D A7 DF 70 96 F7 E6 70 B2,1
GlobeImposter_Unknown_How to restore your files.hta_test23,26 5B FD 2C 07 61 87 C6 A2 37 34 67 3F 80 E4 CE 47 35 08 DD 91 2F 3E 0F 81 70 C1 23 31 68 AC 41 1D 9C A1 E9 B0 8A 2B 59 02 8F EB 51 E3 7E 2C C7 1B 0D 18 45 FC 1A 38 B3 8D EC AE 54 B6 2F CD CE 8F 0C DF B5 94 FA AD 33 6F 42 D2 A4 7E DE A1 22 B6 B5 93 E1 70 75 86 C4 AD AD 9C EC 7C 57 AE 05 A9 48 AB 22 49 E0 93 4A 9C 4B 58 BF E0 C3 66 98 3A 7B 95 52 CB 67 E5 A4 32 1E E3 41 D1 FC 11 B4,1
GlobeImposter_Unknown_How to restore your files.hta_test24,"01 B6 8E 93 5B BA 04 Due to poor security, access to your server computer was obtained. Your
documents, photos, databases and other important data was encrypted. Data recovery requires a decoder. To get the decryptor and instructions you should send an email to REPLACEDLINK Please, send 1 encrypted image or text file, and
indicate in letter your personal ID look at the beginning of the document,
it's very important! We will give you the decrypted file in order for you to be sure and assign
the price to decrypt all files. After you will get an instruction how to pay
for decrypt, and after payment you will receive a decryptor and instructions. After start decryptor program all your files will be restored. Attention! Do not attempt to remove any program or",1
GlobeImposter_Unknown_How to restore your files.hta_test25,run the antivirus tools! Do you want to decrypt the files yourself? If you are not afraid to lose all files good luck. The price for each is different.,1
Mmm_unknown_GET_YOUR_FILES_BACK.html_test26,"NOT YOUR LANGUAGE? Use Google Translate What happened to your files? All of
your files were encrypted by a strong encryption with RSA2048 How did this
happen? Specially for your PC was generated personal RSA2048 Key, both public and private. ALL YOUR FILES were encrypted with the public key, which has been transferred to your PC via the Internet. Decrypting of your files is only possible with the help of the private key and decrypt program, which is on our Server What do I do? So,there are two ways you can choose: wait for a miracle and get
your price doubled, or start obtaining BITCOIN NOW and restore your data easy
way. If you have really valuable data, your better not waste your time,
because there is no other way to get your",1
Mmm_unknown_GET_YOUR_FILES_BACK.html_test27,"files, except payment. Your personal
ID: redacted Your personal wallet adress:
 Your price start from 0,45 BTC , after 10
days 5 8 2018 he is 0,9 BTC , after 15 day he is 2 BTC. 20 day and your
secret key has been deleted. Instruction: 1Buy Bitcoin on btc exchange sites REPLACEDLINK REPLACEDLINK Coinbase,Localbitcoins, Coinmama and REPLACEDLINK buy
Bitcoin you need confirm your Identify. Or buy Bitcoin instantly in your City REPLACEDLINK atmunitedstates 2send
Bitcoins to  3Write us to email REPLACEDLINK 4After we confirm payment we send you decryption software
and Private Key for decrypt your files.",1
Lucky__How_To_Decrypt_My_File_.txt_test28,"I am sorry to tell you.
Some files has crypted
if you want your files back , send 1 bitcoin to my wallet
my wallet address : 
If you have any questions, please contact us. REPLACEDLINK",1
Amnesia_[unknown].txt_test29,"REPLACEDLINK REPLACEDLINK YOUR FILES ARE ENCRYPTED! Your personal Indification key






906224887828630363 Only option for decryption your files is get decryption software from us.
Write to REPLACEDLINK In the mail attach your Indification key look in begin of this document. If you dont get answer in 2 hours or mail not working. Register on site REPLACEDLINK online message service to send Bitmessage Write on Bitmessage adress  with your email and Indification key. In answer you will get restoration cost and Bitcoin wallet adress You will need send demanded donation on given BTC wallet.
You may send few small files for test decryption before payment. Soon after your payment usualy 1030 min you will get decryption software and restore your files. If you dont have Bitcoins Create Bitcoin wallet: REPLACEDLINK Buy Bitcoin:",1
Amnesia_[unknown].txt_test30,"REPLACEDLINK Visa MasterCard, QIWI Visa Wallet, REPLACEDLINK REPLACEDLINK onhowtobuybitcoin Important note! Contact us soon as you can so we can save your contacts our email can be blocked. Restore files without our help is useless If you dont have full backups of data. Decryption software unique generated for each client. Decryption of your files with the help of third parties may cause increased price they add their fee to our or you can become a victim of a scam. REPLACEDLINK REPLACEDLINK",1
Matrix_Version3_WhatHappenedWithFiles.rtf_test31,"attention! all your files were encrypted with RSa2048 algorithm.
Without your personal decryption key data recovery is impossible!
To get your unique key and decrypt the files, You have to send the following code:  to our email address: REPLACEDLINK Then You will recieve all necessary instructions.
You have only 96 hours to recover your data! after this time your unique decryption key will be automatically deleted and file decryption will become impossible!
Hurry up! each 12 hours the payment size will be automatically increased by 100! cf0all the attempts of decryption by yourself will result only in irrevocable loss of your data.
If you still want to try to decrypt them by yourself please make a backup at first because the decryption will become impossible in case of any changes inside the",1
Matrix_Version3_WhatHappenedWithFiles.rtf_test32,"files.
If you did not receive the answer from the aforecited email for more then 24 hours and only in this case!, use the reserve email address: REPLACEDLINK",1
